,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,year_of_construction,object_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,phone,district,street,house_number,underground,residential_complex
13,Этажи Екатеринбург,real_estate_agent,https://ekb.cian.ru/sale/flat/295077884/,Екатеринбург,sale,flat,8,22,0,28.1,-1,0,3800000,2023,-1,-1,-1,-1,-1,15 м²,79827324720,,,,Геологическая,На Тенистой - 2 очередь
14,ID 107171253,homeowner,https://ekb.cian.ru/sale/flat/309508323/,Екатеринбург,sale,flat,3,4,0,18.0,-1,0,1600000,-1,-1,-1,-1,-1,-1,-1,79126731567,Октябрьский, Бахчиванджи,20,,
15,Брусника,developer,https://ekb.cian.ru/sale/flat/304302666/,Екатеринбург,sale,flat,9,9,0,38.2,-1,0,6390000,2023,-1,Монолитно-кирпичный,-1,Предчистовая,"14,6 м²",10 м²,73432261627,Железнодорожный, Пехотинцев,2В,Уральская,Квартал Депо
16,Принцип недвижимость,real_estate_agent,https://ekb.cian.ru/sale/flat/304766637/,Екатеринбург,sale,flat,3,23,0,27.5,-1,0,3890000,2026,-1,-1,-1,Без отделки,21 м²,-1,79120301868,Ленинский, Амундсена,,Ботаническая,PROGRESS Академический
17,НОВОСЁЛ,real_estate_agent,https://ekb.cian.ru/sale/flat/306835484/,Екатеринбург,sale,flat,5,5,0,17.0,-1,0,1690000,1964,-1,-1,-1,-1,12 м²,4 м²,79126919175,Орджоникидзевский,проспект Космонавтов,56,Уралмаш,
18,Первостроитель,developer,https://ekb.cian.ru/sale/flat/290247822/,Екатеринбург,sale,flat,2,27,0,34.69,-1,0,7672000,2025,-1,Монолитно-кирпичный,-1,"Без отделки, предчистовая, чистовая, чистовая с мебелью","15,9 м²","6,6 м²",73432261789,Кировский, Мира,47/6,Геологическая,Проспект Мира. Компаунд
19,ID 123779717,homeowner,https://ekb.cian.ru/sale/flat/309139134/,Екатеринбург,sale,flat,3,9,0,24.6,-1,0,3800000,2020,-1,-1,-1,-1,"24,6 м²",-1,79126525600,, Евгения Савкова,29А,Геологическая,Суходольский квартал
20,РИМ,real_estate_agent,https://ekb.cian.ru/sale/flat/300681624/,Екатеринбург,sale,flat,2,25,0,35.3,-1,0,4270000,2024,-1,-1,-1,-1,"25,3 м²",5 м²,79126418324,Чкаловский, Щербакова,148/2,Чкаловская,River Park
21,Эталон,developer,https://ekb.cian.ru/sale/flat/308414280/,Екатеринбург,sale,flat,12,16,0,22.5,-1,0,4249654,2026,-1,Монолитно-кирпичный,-1,"Предчистовая, чистовая","8,5 м²",5 м²,73432267543,Чкаловский,,,Ботаническая,Жилой район Солнечный
22,Новосел,real_estate_agent,https://ekb.cian.ru/sale/flat/305637997/,Екатеринбург,sale,flat,3,12,0,25.0,-1,0,3400000,2025,-1,-1,-1,Чистовая,13 м²,-1,79623860679,, Академика Ландау,37,Геологическая,Спутник-1
23,Соболев и Партнёры,real_estate_agent,https://ekb.cian.ru/sale/flat/308767210/,Екатеринбург,sale,flat,5,5,0,17.0,-1,0,1145000,-1,-1,-1,-1,-1,15 м²,2 м²,79827510971,Железнодорожный, Подгорная,2,Машиностроителей,
24,Эталон,developer,https://ekb.cian.ru/sale/flat/309466137/,Екатеринбург,sale,flat,2,25,0,21.91,-1,0,3519617,2027,-1,Монолитно-кирпичный,-1,Предчистовая,"8,7 м²","5,7 м²",73432260872,Железнодорожный, Пехотинцев,2А,Уральская,Rauta
25,Диал,real_estate_agent,https://ekb.cian.ru/sale/flat/309180828/,Екатеринбург,sale,flat,17,17,-1,23.0,-1,0,2750000,2015,-1,-1,-1,-1,18 м²,-1,79126708401,Железнодорожный, Летчиков,7,Машиностроителей,
26,Новосел,real_estate_agent,https://ekb.cian.ru/sale/flat/305914867/,Екатеринбург,sale,flat,3,12,0,25.0,-1,0,3400000,2025,-1,-1,-1,Чистовая,13 м²,-1,79623860679,, Академика Ландау,37,Геологическая,Спутник-1
27,Диал,real_estate_agent,https://ekb.cian.ru/sale/flat/309464573/,Екатеринбург,sale,flat,2,5,0,13.2,-1,0,1300000,-1,-1,-1,-1,-1,"6,2 м²",2 м²,79122414232,Октябрьский, Хвойная,76,Геологическая,
28,Корпорация Маяк,developer,https://ekb.cian.ru/sale/flat/304157532/,Екатеринбург,sale,flat,5,17,0,46.7,-1,0,10036484,2023,-1,-1,-1,Предчистовая,"30,3 м²",5 м²,73432261663,Октябрьский, Декабристов,20,Геологическая,Архитектон
29,Новосел,real_estate_agent,https://ekb.cian.ru/sale/flat/305055853/,Екатеринбург,sale,flat,15,16,-1,38.0,-1,0,5290000,2015,-1,-1,-1,-1,20 м²,7 м²,79623860679,Октябрьский, Куйбышева,159А,Геологическая,
30,ID 20235540,homeowner,https://ekb.cian.ru/sale/flat/308902760/,Екатеринбург,sale,flat,2,5,0,19.0,-1,0,1850000,1973,-1,-1,-1,-1,17 м²,-1,79826538907,Кировский, Панельная,17к2,Геологическая,
31,Брусника,developer,https://ekb.cian.ru/sale/flat/308712512/,Екатеринбург,sale,flat,6,9,0,20.34,-1,0,3440000,2027,-1,Монолитно-кирпичный,-1,Предчистовая,-1,-1,73432261644,,,,Ботаническая,Брусника в Академическом ЖК
32,Диал,real_estate_agent,https://ekb.cian.ru/sale/flat/308089180/,Екатеринбург,sale,flat,2,25,0,20.9,-1,0,2870000,2022,-1,-1,-1,-1,"9,9 м²",6 м²,79126708401,, Евгения Савкова,17А,Геологическая,
33,Ярмарка,real_estate_agent,https://ekb.cian.ru/sale/flat/309072388/,Екатеринбург,sale,flat,5,25,0,21.7,-1,0,2800000,2023,-1,-1,-1,-1,"16,7 м²",-1,79126317467,Октябрьский, Латвийская,58/3,Геологическая,Хрустальные Ключи
34,ACONS GROUP,developer,https://ekb.cian.ru/sale/flat/307578356/,Екатеринбург,sale,flat,13,30,0,32.0,-1,0,8817000,2023,-1,"Монолитно-кирпичный, монолитный",-1,"Без отделки, черновая, чистовая",12 м²,"5,7 м²",73432261672,, Машинная,1в/2,Чкаловская,Clever park
36,ID 77452052,homeowner,https://ekb.cian.ru/sale/flat/306420058/,Екатеринбург,sale,flat,4,25,0,19.0,-1,0,2650000,2023,-1,-1,-1,-1,-1,-1,79120503424,Чкаловский,Светлый мкр,12,Ботаническая,Светлый
37,Брусника,developer,https://ekb.cian.ru/sale/flat/308816627/,Екатеринбург,sale,flat,2,17,0,23.0,-1,0,5230000,2021,-1,"Монолитно-кирпичный, монолитный",-1,Предчистовая,-1,-1,73432261631,Орджоникидзевский,переулок Ритслянда,15,Проспект Космонавтов,Северный квартал
38,Ориентир. Недвижимость,real_estate_agent,https://ekb.cian.ru/sale/flat/309490235/,Екатеринбург,sale,flat,2,20,0,20.7,-1,0,10500000,2023,-1,-1,-1,-1,"11,7 м²",4 м²,79827302711,Центр, Попова,18,Площадь 1905 года,Ленина 8
39,ID 117562231,homeowner,https://ekb.cian.ru/sale/flat/309608606/,Екатеринбург,sale,flat,2,5,0,17.2,-1,0,2150000,1966,-1,-1,-1,-1,"17,2 м²",-1,79126929347,Железнодорожный, Стрелочников,1,Уральская,
40,White Group,developer,https://ekb.cian.ru/sale/flat/305876931/,Екатеринбург,sale,flat,2,32,0,30.4,-1,0,4852000,2026,-1,-1,-1,Чистовая,"11,6 м²","5,2 м²",73432267725,, Академика Парина,12/6,Чкаловская,First
41,Этажи Екатеринбург,real_estate_agent,https://ekb.cian.ru/sale/flat/295740992/,Екатеринбург,sale,flat,5,18,0,20.3,-1,0,3450000,2024,-1,-1,-1,-1,-1,10 м²,79827324720,Чкаловский,,,Ботаническая,Утес ЖК
42,Уральский Дом Недвижимости,real_estate_agent,https://ekb.cian.ru/sale/flat/307697625/,Екатеринбург,sale,flat,1,5,0,12.3,-1,0,1550000,-1,-1,-1,-1,-1,"7,3 м²",-1,79826874180,Чкаловский, Аптекарская,50,Ботаническая,
43,ПИК,developer,https://ekb.cian.ru/sale/flat/287938308/,Екатеринбург,sale,flat,14,24,0,20.2,-1,0,3716800,2025,-1,Монолитно-кирпичный,-1,"Предчистовая, чистовая","9,5 м²","5,1 м²",73432261718,Октябрьский,Южный жилрайон,6,Ботаническая,Исеть Парк ЖК
44,ID 85754554,homeowner,https://ekb.cian.ru/sale/flat/308931582/,Екатеринбург,sale,flat,5,9,0,17.2,-1,0,2999000,1982,-1,-1,-1,-1,"15,2 м²",2 м²,79126925901,Екатеринбург, Чайковского,10,,
45,ГРАНАТ,real_estate_agent,https://ekb.cian.ru/sale/flat/307539008/,Екатеринбург,sale,flat,5,29,0,20.0,-1,0,2599000,2025,-1,-1,-1,-1,10 м²,5 м²,79126538673,Чкаловский,,к1,Ботаническая,Утес ЖК
46,45-й Квартал,developer,https://ekb.cian.ru/sale/flat/303392057/,Екатеринбург,sale,flat,3,4,0,23.83,-1,0,4313230,2025,-1,-1,-1,Чистовая,-1,-1,73432261745,Ленинский,,,Чкаловская,Твоя Привилегия ЖК
47,Самолет Плюс Екатеринбург,real_estate_agent,https://ekb.cian.ru/sale/flat/308892768/,Екатеринбург,sale,flat,5,25,0,31.0,-1,0,4390000,2020,-1,-1,-1,-1,22 м²,-1,79122515743,Железнодорожный, Таватуйская,25к3,Уральская,
48,ID 118429002,homeowner,https://ekb.cian.ru/sale/flat/305241287/,Екатеринбург,sale,flat,1,9,0,15.0,-1,0,1430000,1978,-1,-1,-1,-1,12 м²,-1,79826207053,Орджоникидзевский, Донбасская,8,Уралмаш,
49,TETRIS Group,developer,https://ekb.cian.ru/sale/flat/309406333/,Екатеринбург,sale,flat,20,26,0,25.35,-1,0,4952974,2025,-1,Монолитный,-1,Чистовая,-1,"5,3 м²",73432260995,Орджоникидзевский,Моменты на Космонавтов жилой квартал,,Проспект Космонавтов,Квартал Моменты на Космонавтов
50,Надежда Сумина,realtor,https://ekb.cian.ru/sale/flat/308885178/,Екатеринбург,sale,flat,9,10,0,25.0,-1,0,4159000,2024,-1,-1,-1,-1,15 м²,5 м²,79126523912,Октябрьский,бульвар Новосинарский,7,Геологическая,
51,Уральская ЭТП,real_estate_agent,https://ekb.cian.ru/sale/flat/306652117/,Екатеринбург,sale,flat,5,10,0,9.2,-1,0,538761,-1,-1,-1,-1,-1,-1,5 м²,79826723446,Кировский, Сыромолотова,20,Площадь 1905 года,
52,РСГ-Академическое,developer,https://ekb.cian.ru/sale/flat/299148548/,Екатеринбург,sale,flat,9,10,0,27.6,-1,0,4806669,2024,-1,Монолитно-кирпичный,-1,Чистовая,-1,-1,73432261651,, Академика Ландау,53,Чкаловская,Кварталы Конструктивизма
53,АН 911,real_estate_agent,https://ekb.cian.ru/sale/flat/287867688/,Екатеринбург,sale,flat,6,16,0,28.5,-1,0,3700000,2022,-1,-1,-1,-1,16 м²,4 м²,79827511618,ЖК «Кварталы Форум Групп ( Солнечный)»Ботаническая13 минут на транспортеСвердловская область, Чемпионов,15,Ботаническая,Кварталы Форум Групп (р-н Солнечный)
54,ID 118565929,homeowner,https://ekb.cian.ru/sale/flat/304134256/,Екатеринбург,sale,flat,1,9,-1,24.0,-1,0,1430000,1978,-1,-1,-1,-1,15 м²,3 м²,79122414097,Орджоникидзевский, Донбасская,8,Уралмаш,
55,РСГ-Академическое,developer,https://ekb.cian.ru/sale/flat/307426784/,Екатеринбург,sale,flat,6,16,0,29.96,-1,0,4580000,2026,-1,Монолитно-кирпичный,-1,"Предчистовая, чистовая",-1,-1,73432261792,, Академика Парина,27,Чкаловская,Новая Олимпика
56,Самолет Плюс Екатеринбург,real_estate_agent,https://ekb.cian.ru/sale/flat/308110083/,Екатеринбург,sale,flat,9,23,0,21.0,-1,0,3050000,-1,-1,-1,-1,-1,14 м²,-1,79122515743,Чкаловский,Светлый мкр,8,Ботаническая,
57,Наталья Булыгина,realtor,https://ekb.cian.ru/sale/flat/309263874/,Екатеринбург,sale,flat,3,5,0,18.0,-1,0,2390000,-1,-1,-1,-1,-1,-1,-1,79826516255,Кировский, Панельная,9А,,
58,РСГ-Академическое,developer,https://ekb.cian.ru/sale/flat/299150020/,Екатеринбург,sale,flat,14,31,0,23.69,-1,0,3701000,2027,-1,Монолитно-кирпичный,-1,"Предчистовая, чистовая",-1,-1,73432261654,,,,Чкаловская,Спутник-1
59,Этажи Екатеринбург,real_estate_agent,https://ekb.cian.ru/sale/flat/297863678/,Екатеринбург,sale,flat,7,22,0,28.55,-1,0,4400000,2025,-1,-1,-1,Чистовая,-1,"17,2 м²",79827324720,Чкаловский,,,Ботаническая,Просторы ЖК
60,ГРАНАТ,real_estate_agent,https://ekb.cian.ru/sale/flat/307540873/,Екатеринбург,sale,flat,6,25,0,20.0,-1,0,2880000,2023,-1,-1,-1,-1,8 м²,7 м²,79126133721,Чкаловский,Светлый мкр,12,Ботаническая,Светлый
61,Atlas Development,developer,https://ekb.cian.ru/sale/flat/306662275/,Екатеринбург,sale,flat,2,26,0,25.1,-1,0,3541499,2026,-1,-1,-1,Предчистовая,"12,3 м²","5,5 м²",73432261788,Чкаловский,,,Ботаническая,Атлас.Ривер парк ЖК
62,Самолет Плюс Екатеринбург,real_estate_agent,https://ekb.cian.ru/sale/flat/309423204/,Екатеринбург,sale,flat,24,25,0,25.9,-1,0,3750000,2025,-1,-1,-1,-1,11 м²,"3,1 м²",79122515743,Чкаловский, Молодогвардейцев,1,Ботаническая,М1
63,Стройтэк,developer,https://ekb.cian.ru/sale/flat/293522417/,Екатеринбург,sale,flat,2,26,0,26.96,-1,0,3760000,2025,-1,Монолитно-кирпичный,-1,Чистовая,"12,2 м²",-1,73432261664,,,,Чкаловская,Мохито ЖК
64,12 квартал,developer,https://ekb.cian.ru/sale/flat/309569260/,Екатеринбург,sale,flat,20,23,0,30.28,-1,0,4794000,2025,-1,Монолитно-кирпичный,-1,Предчистовая,"11,2 м²",-1,73432260993,, Академика Ландау,12/9,Чкаловская,Квартал 12
65,Этажи Екатеринбург,real_estate_agent,https://ekb.cian.ru/sale/flat/308240695/,Екатеринбург,sale,flat,12,16,0,27.1,-1,0,5600000,2021,-1,-1,-1,-1,-1,4 м²,79827302958,Ленинский, Чкалова,18,Чкаловская,
66,DAN-Недвижимость,real_estate_agent,https://ekb.cian.ru/sale/flat/305480351/,Екатеринбург,sale,flat,5,9,0,17.55,-1,0,2970000,2024,-1,-1,-1,Без отделки,"9,6 м²",3 м²,79090745476,,,,Ботаническая,Брусника в Академическом ЖК
67,ПИК,developer,https://ekb.cian.ru/sale/flat/289171493/,Екатеринбург,sale,flat,21,25,0,19.6,-1,0,3802713,2025,-1,Монолитно-кирпичный,-1,Чистовая,"9,6 м²",5 м²,73432261629,Железнодорожный,,4.2,Уральская,Космонавтов 11 ЖК
68,Этажи Екатеринбург,real_estate_agent,https://ekb.cian.ru/sale/flat/300327070/,Екатеринбург,sale,flat,11,16,-1,34.7,-1,0,4950000,2018,-1,-1,-1,-1,"24,7 м²",5 м²,79126132361,Чкаловский, Крестинского,35,Ботаническая,
69,Новосёл,real_estate_agent,https://ekb.cian.ru/sale/flat/306231210/,Екатеринбург,sale,flat,3,5,0,19.0,-1,0,2250000,1967,-1,-1,-1,-1,10 м²,4 м²,79125708115,Орджоникидзевский, Таганская,8,Проспект Космонавтов,
70,РСГ-Академическое,developer,https://ekb.cian.ru/sale/flat/304960951/,Екатеринбург,sale,flat,13,21,0,23.17,-1,0,3844000,2026,-1,Монолитно-кирпичный,-1,"Предчистовая, чистовая",-1,-1,73432260867,, Вильгельма де Геннина,23,Чкаловская,Первый Академ
71,Самолет Плюс Екатеринбург,real_estate_agent,https://ekb.cian.ru/sale/flat/304246097/,Екатеринбург,sale,flat,1,5,0,17.4,-1,0,2050000,-1,-1,-1,-1,-1,"12,4 м²",-1,79122515743,Октябрьский, Хвойная,76к1,Геологическая,
72,Дарья Ночвина,realtor,https://ekb.cian.ru/sale/flat/308873211/,Екатеринбург,sale,flat,2,5,0,17.3,-1,0,2599000,1979,-1,-1,-1,-1,-1,-1,79090305824,Железнодорожный,переулок Выездной,8А,Уральская,
73,Союз,developer,https://ekb.cian.ru/sale/flat/307394654/,Екатеринбург,sale,flat,4,21,0,31.38,-1,0,5448000,2025,-1,-1,-1,Предчистовая,-1,-1,73432261738,, Краснолесья,96/2,Чкаловская,Академ-Центр
74,Самолет Плюс Екатеринбург,real_estate_agent,https://ekb.cian.ru/sale/flat/308563344/,Екатеринбург,sale,flat,21,25,0,28.0,-1,0,5100000,2022,-1,-1,-1,-1,"11,2 м²",6 м²,79122515743,Железнодорожный,переулок Мельковский,4,Машиностроителей,Космос
75,ID 107171253,homeowner,https://ekb.cian.ru/sale/flat/305638074/,Екатеринбург,sale,flat,1,5,0,16.0,-1,0,1790000,1981,-1,-1,-1,-1,14 м²,2 м²,79126731567,Железнодорожный, Надеждинская,12А,Уральская,
76,РСГ-Академическое,developer,https://ekb.cian.ru/sale/flat/309537541/,Екатеринбург,sale,flat,11,32,0,31.1,-1,0,5669028,2023,-1,"Монолитно-кирпичный, кирпичный",-1,Чистовая,-1,-1,73432261700,, Академика Парина,37А,Чкаловская,Eleven
77,ЛСР. Недвижимость,developer,https://ekb.cian.ru/sale/flat/298544408/,Екатеринбург,sale,flat,22,25,0,21.9,-1,0,2499994,2025,-1,"Панельный, монолитно-кирпичный",-1,Чистовая,"10,5 м²",5 м²,73432261684,Октябрьский,,5к5,Ботаническая,Хрустальные Ключи ЖК
78,РИМ,real_estate_agent,https://ekb.cian.ru/sale/flat/300371070/,Екатеринбург,sale,flat,7,7,0,22.1,-1,0,3500000,2024,-1,-1,-1,-1,14 м²,3 м²,79126418324,Чкаловский, Щербакова,148,Ботаническая,River Park
79,BAZA Development,developer,https://ekb.cian.ru/sale/flat/299807976/,Екатеринбург,sale,flat,6,25,0,22.68,-1,0,4207956,2025,-1,-1,-1,С отделкой,11 м²,-1,73432261719,Октябрьский,,,,ДНК-Дом на Куйбышева ЖК
80,МФЦ Недвижимость,real_estate_agent,https://ekb.cian.ru/sale/flat/306925002/,Екатеринбург,sale,flat,6,6,0,31.5,-1,0,5650000,2023,-1,-1,-1,-1,"17,5 м²",9 м²,79126318429,Кировский, Блюхера,38,Машиностроителей,Тёплые кварталы
81,Екатерина Жданова,realtor,https://ekb.cian.ru/sale/flat/309324050/,Екатеринбург,sale,flat,2,9,0,11.1,-1,0,1450000,1980,-1,-1,-1,-1,-1,-1,79827309429,Чкаловский, Аптекарская,39,Ботаническая,
82,ЖилСтрой,developer,https://ekb.cian.ru/sale/flat/308952903/,Екатеринбург,sale,flat,7,21,0,28.59,-1,0,4702000,2025,-1,Монолитно-кирпичный,-1,"Предчистовая, чистовая","13,3 м²","5,1 м²",73432261630,,,,Чкаловская,Горки ЖК
83,МФЦ Недвижимость,real_estate_agent,https://ekb.cian.ru/sale/flat/302334345/,Екатеринбург,sale,flat,12,25,0,41.4,-1,0,4040000,-1,-1,-1,-1,-1,30 м²,6 м²,79122521278,Чкаловский,Светлый мкр,5,Ботаническая,
84,Евгений Аблаев,realtor,https://ekb.cian.ru/sale/flat/309019875/,Екатеринбург,sale,flat,7,8,0,20.81,-1,0,3250000,2026,-1,-1,-1,Чистовая,9 м²,3 м²,79827611517,,,,Ботаническая,Брусника в Академическом ЖК
85,Практика,developer,https://ekb.cian.ru/sale/flat/303391934/,Екатеринбург,sale,flat,13,21,0,26.48,-1,0,4358848,2025,-1,Монолитно-кирпичный,-1,"Предчистовая, чистовая","13,1 м²",-1,73432261856,Орджоникидзевский,,,,Квартал на Шефской ЖК
86,РИМ,real_estate_agent,https://ekb.cian.ru/sale/flat/309164438/,Екатеринбург,sale,flat,6,25,0,33.0,-1,0,4300000,2024,-1,-1,-1,-1,15 м²,6 м²,79827211673,Чкаловский, Щербакова,148/2,Ботаническая,River Park
87,Profrealt,real_estate_agent,https://ekb.cian.ru/sale/flat/302138176/,Екатеринбург,sale,flat,8,32,0,24.0,-1,0,3100000,2025,-1,-1,-1,-1,11 м²,4 м²,79827202267,Верх-Исетский,,,Геологическая,Русь-2 ЖК
88,ЛСР. Недвижимость,developer,https://ekb.cian.ru/sale/flat/298588481/,Екатеринбург,sale,flat,14,25,0,22.4,-1,0,3725568,2025,-1,-1,-1,Под ключ,10 м²,"4,7 м²",73432261722,Кировский,Комсомольский жилрайон,,Ботаническая,Малахит ЖК
89,Самолет Плюс Екатеринбург,real_estate_agent,https://ekb.cian.ru/sale/flat/301500795/,Екатеринбург,sale,flat,19,23,0,24.5,-1,0,4100000,-1,-1,-1,-1,-1,"13,4 м²",5 м²,79090303944,Чкаловский, Щербакова,78,Геологическая,Астон. Сезоны
90,Новосёл,real_estate_agent,https://ekb.cian.ru/sale/flat/294987454/,Екатеринбург,sale,flat,1,5,0,19.0,-1,0,1750000,1960,-1,-1,-1,-1,15 м²,2 м²,79827205209,Орджоникидзевский,проспект Космонавтов,52А,Уралмаш,
91,Страна Девелопмент,developer,https://ekb.cian.ru/sale/flat/307425023/,Екатеринбург,sale,flat,6,24,0,22.05,-1,0,4420000,2025,-1,Монолитный,-1,"Предчистовая, черновая, чистовая, чистовая с мебелью",-1,-1,73432261728,Орджоникидзевский, Шефская,22А,Проспект Космонавтов,Страна.Энтузиастов
92,РИМ,real_estate_agent,https://ekb.cian.ru/sale/flat/281274267/,Екатеринбург,sale,flat,6,7,0,31.5,-1,0,3890000,2023,-1,-1,-1,-1,"16,2 м²","5,3 м²",79827211673,Железнодорожный, Коуровская,13/3,Уральская,Симфония
93,Уральская ЭТП,real_estate_agent,https://ekb.cian.ru/sale/flat/306652017/,Екатеринбург,sale,flat,5,10,0,12.5,-1,0,595000,-1,-1,-1,-1,-1,-1,5 м²,79826723446,Железнодорожный, Ереванская,60,Машиностроителей,
94,ЛСР. Недвижимость,developer,https://ekb.cian.ru/sale/flat/309657102/,Екатеринбург,sale,flat,3,24,0,22.7,-1,0,2878587,2026,-1,"Панельный, монолитно-кирпичный, монолитный, блочный",-1,Чистовая,"10,4 м²",5 м²,73432261676,,,,Чкаловская,Меридиан ЖК
95,ID 86503812,realtor,https://ekb.cian.ru/sale/flat/309351271/,Екатеринбург,sale,flat,1,5,0,22.0,-1,0,4500000,1971,-1,-1,-1,-1,-1,-1,79126075132,Чкаловский, Просторная,146,Ботаническая,
96,ID 67882068,homeowner,https://ekb.cian.ru/sale/flat/309067070/,Екатеринбург,sale,flat,1,5,0,19.0,-1,0,3295000,1971,-1,-1,-1,-1,-1,-1,79090305961,, Фрунзе,76,Чкаловская,
97,Московский Квартал-2,developer,https://ekb.cian.ru/sale/flat/305487766/,Екатеринбург,sale,flat,20,31,0,23.63,-1,0,5198600,2024,-1,"Монолитно-кирпичный, монолитный",-1,Предчистовая,-1,-1,73432267702,Ленинский, Печатников,,Чкаловская,Московский квартал
98,ID 86503812,realtor,https://ekb.cian.ru/sale/flat/309351434/,Екатеринбург,sale,flat,1,5,0,22.0,-1,0,4500000,1971,-1,-1,-1,-1,-1,-1,79126075132,Чкаловский, Просторная,146,Ботаническая,
99,Миэль Офис в Екатеринбурге,real_estate_agent,https://ekb.cian.ru/sale/flat/308875271/,Екатеринбург,sale,flat,5,8,0,40.0,-1,0,4980684,2026,-1,-1,-1,-1,"19,5 м²",5 м²,79630749624,Центр, Малышева,84,Площадь 1905 года,
100,Стройтэк,developer,https://ekb.cian.ru/sale/flat/287589383/,Екатеринбург,sale,flat,2,25,0,22.01,-1,0,4306256,2025,-1,Монолитно-кирпичный,-1,Предчистовая,"9,2 м²",-1,73432261779,Чкаловский, 8 Марта,204,,Green Garden
101,ID 100267907,unknown,https://ekb.cian.ru/sale/flat/309119958/,Екатеринбург,sale,flat,7,13,0,30.3,-1,0,5500000,2019,-1,-1,-1,-1,-1,-1,79126525114,Верх-Исетский, Крауля,168В,Геологическая,Янтарная Долина
102,Практика,developer,https://ekb.cian.ru/sale/flat/295760035/,Екатеринбург,sale,flat,21,25,0,27.69,-1,0,4458090,2025,-1,Монолитно-кирпичный,-1,"Предчистовая, чистовая","14,2 м²",-1,73432261742,Чкаловский,,,Ботаническая,H2O ЖК
